T|TVIRT|201708|AAL|12|22|65|48466|47066|1400|0|1400|0|0|0|0|0.0786|0.0100|0|0.0000|0.0|1400|0.0|0|0.0000|0.0
T|TVIRT|201708|AAL|12|23|13|33100|32380|720|0|720|0|0|0|0|-0.0300|0.0100|0|0.0000|0.0|720|0.0|0|0.0000|0.0
T|TVIRT|201708|AAL|12|24|4|27300|27300|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAL|13|21|11|1818|1618|200|0|200|0|0|0|0|0.0100|||||||||
T|TVIRT|201708|AAL|13|22|2|1500|1500|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAL|14|21|111|17190|17090|100|0|100|0|0|0|0|-0.2100|||||||||
T|TVIRT|201708|AAL|14|22|6|3896|3896|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAL|15|21|10|1343|1243|100|0|100|0|0|0|0|-0.1100|||||||||
T|TVIRT|201708|AAL|15|22|1|600|600|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAMC|12|21|1|100|100|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAMC|12|22|3|1759|1759|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAMC|13|21|2|200|200|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAMC|13|22|1|855|855|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAMC|14|21|2|200|200|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAME|12|21|3|400|400|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAN|11|21|3|302|302|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAN|12|21|148|18959|17559|1400|0|1400|0|0|0|0|0.0067|0.1210|300|0.0010|0.0|1100|0.0|0|0.0000|0.0
T|TVIRT|201708|AAN|12|22|13|9500|8900|600|0|600|0|0|0|0|0.5800|0.1000|0|0.0000|0.0|600|0.0|0|0.0000|0.0
T|TVIRT|201708|AAN|12|23|1|3700|3700|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAN|13|21|11|1700|1700|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAN|14|21|13|2400|2400|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAN|14|22|1|900|900|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAN|15|21|1|100|100|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAOI|11|21|35|4764|3256|1508|0|1508|0|0|0|0|0.2197|0.1537|100|0.0200|0.0|1408|0.0|0|0.0000|0.0
T|TVIRT|201708|AAOI|11|22|2|1205|805|400|0|400|0|0|0|0|-0.2700|0.2900|0|0.0000|0.0|0|0.0|400|0.0500|0.0
T|TVIRT|201708|AAOI|12|21|1061|164862|77552|87310|0|87310|0|0|0|0|0.0385|0.1507|35615|0.0062|0.0|37101|0.0|14594|0.0706|0.0
T|TVIRT|201708|AAOI|12|22|127|110126|92926|17200|0|17200|0|0|0|0|-0.0190|0.1407|400|0.0100|0.0|15400|0.0|1400|0.0371|0.0
T|TVIRT|201708|AAOI|12|23|9|24000|23400|600|0|600|0|0|0|0|-0.4000|0.1600|0|0.0000|0.0|600|0.0|0|0.0000|0.0
T|TVIRT|201708|AAOI|13|21|265|39014|32290|6724|0|6724|0|0|0|0|-0.1094|||||||||
T|TVIRT|201708|AAOI|13|22|36|29430|29430|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAOI|13|23|26|67200|66800|400|0|400|0|0|0|0|0.1400|||||||||
T|TVIRT|201708|AAOI|14|21|76|10600|10500|100|0|100|0|0|0|0|0.1280|||||||||
T|TVIRT|201708|AAOI|14|22|17|15300|15300|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAOI|15|21|34|4750|4450|300|0|300|0|0|0|0|-0.4500|||||||||
T|TVIRT|201708|AAOI|15|22|4|2658|2658|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAON|12|21|35|3700|3200|500|0|500|0|0|0|0|-0.0600|0.1300|0|0.0000|0.0|500|0.0|0|0.0000|0.0
T|TVIRT|201708|AAON|12|22|1|700|700|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAON|13|21|48|7676|7676|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAON|13|22|2|1209|1209|0|0|0|0|0|0|0|0.0000|||||||||
T|TVIRT|201708|AAP|11|21|28|3550|3350|200|0|200|0|0|0|0|0.8050|0.3150|0|0.0000|0.0|100|0.0|100|0.2000|0.0
T|TVIRT|201708|AAP|12|21|1068|144884|131158|13726|0|13726|0|0|0|0|0.1745|0.1490|2350|0.0021|0.0|9576|0.0|1800|0.0487|0.0
T|TVIRT|201708|AAP|12|22|148|115522|108622|6900|0|6900|0|0|0|0|-0.1891|0.1448|300|0.0100|0.0|6300|0.0|300|0.0200|0.0
T|TVIRT|201708|AAP|12|23|30|66370|65770|600|0|600|0|0|0|0|-0.1400|0.1100|0|0.0000|0.0|600|0.0|0|0.0000|0.0
T|TVIRT|201708|AAP|12|24|1|6500|6500|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0
T|TVIRT|201708|AAP|13|21|226|37306|36106|1200|0|1200|0|0|0|0|0.1082|||||||||
